run_id,run_tag,method,dataset,num_clients,partition,dirichlet_alpha,rounds,client_num_gpus,metrics_csv
138931b90369,flwf2_fmnist_C100_dirichlet_a0.01,flwf2,fmnist,100,dirichlet,0.01,20,1.0,results/runs/flwf2_fmnist_C100_dirichlet_a0.01_138931b90369.csv
1ba301e85541,flwf2_fmnist_C100_dirichlet_a0.1,flwf2,fmnist,100,dirichlet,0.1,20,1.0,results/runs/flwf2_fmnist_C100_dirichlet_a0.1_1ba301e85541.csv
514c57eb2820,flwf2_fmnist_C100_dirichlet_a0.5,flwf2,fmnist,100,dirichlet,0.5,20,1.0,results/runs/flwf2_fmnist_C100_dirichlet_a0.5_514c57eb2820.csv
b2fff613a1b2,flwf2_fmnist_C100_dirichlet_a1.0,flwf2,fmnist,100,dirichlet,1.0,20,1.0,results/runs/flwf2_fmnist_C100_dirichlet_a1.0_b2fff613a1b2.csv
5a9692ae205b,flwf2_cifar10_C10_iid,flwf2,cifar10,10,iid,,20,1.0,results/runs/flwf2_cifar10_C10_iid_5a9692ae205b.csv
1a8ee91ee4ad,flwf2_cifar10_C10_dirichlet_a0.01,flwf2,cifar10,10,dirichlet,0.01,20,1.0,results/runs/flwf2_cifar10_C10_dirichlet_a0.01_1a8ee91ee4ad.csv
61713e428185,flwf2_cifar10_C10_dirichlet_a0.1,flwf2,cifar10,10,dirichlet,0.1,20,1.0,results/runs/flwf2_cifar10_C10_dirichlet_a0.1_61713e428185.csv
952a027b1f67,flwf2_cifar10_C10_dirichlet_a0.5,flwf2,cifar10,10,dirichlet,0.5,20,1.0,results/runs/flwf2_cifar10_C10_dirichlet_a0.5_952a027b1f67.csv
df4fc922f053,flwf2_cifar10_C10_dirichlet_a1.0,flwf2,cifar10,10,dirichlet,1.0,20,1.0,results/runs/flwf2_cifar10_C10_dirichlet_a1.0_df4fc922f053.csv
e6d98d866847,flwf2_cifar10_C50_iid,flwf2,cifar10,50,iid,,20,1.0,results/runs/flwf2_cifar10_C50_iid_e6d98d866847.csv
9f4b0afb339f,flwf2_cifar10_C50_dirichlet_a0.01,flwf2,cifar10,50,dirichlet,0.01,20,1.0,results/runs/flwf2_cifar10_C50_dirichlet_a0.01_9f4b0afb339f.csv
09a5e13e5157,flwf2_cifar10_C50_dirichlet_a0.1,flwf2,cifar10,50,dirichlet,0.1,20,1.0,results/runs/flwf2_cifar10_C50_dirichlet_a0.1_09a5e13e5157.csv
35c8e98c186a,flwf2_cifar10_C50_dirichlet_a0.5,flwf2,cifar10,50,dirichlet,0.5,20,1.0,results/runs/flwf2_cifar10_C50_dirichlet_a0.5_35c8e98c186a.csv
50523063c693,flwf2_cifar10_C50_dirichlet_a1.0,flwf2,cifar10,50,dirichlet,1.0,20,1.0,results/runs/flwf2_cifar10_C50_dirichlet_a1.0_50523063c693.csv
008139fa0619,flwf2_cifar10_C100_iid,flwf2,cifar10,100,iid,,20,1.0,results/runs/flwf2_cifar10_C100_iid_008139fa0619.csv
6d0c092ece05,flwf2_cifar10_C100_dirichlet_a0.01,flwf2,cifar10,100,dirichlet,0.01,20,1.0,results/runs/flwf2_cifar10_C100_dirichlet_a0.01_6d0c092ece05.csv
0bc16db4143e,flwf2_cifar10_C100_dirichlet_a0.1,flwf2,cifar10,100,dirichlet,0.1,20,1.0,results/runs/flwf2_cifar10_C100_dirichlet_a0.1_0bc16db4143e.csv
c7bd8a107bc2,flwf2_cifar10_C100_dirichlet_a0.5,flwf2,cifar10,100,dirichlet,0.5,20,1.0,results/runs/flwf2_cifar10_C100_dirichlet_a0.5_c7bd8a107bc2.csv
f116e657be46,flwf2_cifar10_C100_dirichlet_a1.0,flwf2,cifar10,100,dirichlet,1.0,20,1.0,results/runs/flwf2_cifar10_C100_dirichlet_a1.0_f116e657be46.csv
