round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round,run_id,run_tag
2,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.208556568145752,0.2573,0.5146,0.0,-0.1815999999999999,0.1484,0.4625999999999999,,24144800,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
3,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.4439055062294006,0.2836,0.5672,0.0,-0.0526,0.1484,0.5152,,36217200,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
4,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.5479555205345155,0.2677,0.5354,0.0,0.0318,0.1484,0.4834,,48289600,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
5,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.2724805352211,0.2601,0.5202,0.0,0.047,0.1484,0.4682,,60362000,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
6,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.423345407867432,0.3073,0.6146,0.0,-0.0474,0.1484,0.5626,,72434400,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
7,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.926884756422043,0.3272,0.6544,0.0,-0.0397999999999999,0.1484,0.6023999999999999,,84506800,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
8,fedavg,cifar10,50,dirichlet,0.1,1,0,0,4.0906232036590575,0.2379,0.4758,0.0,0.1785999999999999,0.1484,0.4238,,96579200,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
9,fedavg,cifar10,50,dirichlet,0.1,1,0,0,3.758799780416489,0.3338,0.6676,0.0,-0.0131999999999999,0.1484,0.6155999999999999,,108651600,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
10,fedavg,cifar10,50,dirichlet,0.1,1,0,1,4.2787842975616455,0.2847,0.5694,0.0,0.0981999999999999,0.1484,0.5174,,120724000,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
11,fedavg,cifar10,50,dirichlet,0.1,2,1,0,2.3622881519317627,0.1786,0.0,0.3572,0.6676,-0.2088,-0.052,,132796400,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
12,fedavg,cifar10,50,dirichlet,0.1,2,0,0,3.2608562825202942,0.2224,0.0,0.4448,0.6676,-0.0875999999999999,-0.052,,144868800,241448,25,02af84d3bd4e,fedavg_cifar10_C50_dirichlet_a0.1
